Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2004,153603,Iowa State University,IA,NCAA Division I-FBS,,1,NCAA,16457,12334,28791,395666,5,395666,5.00,118220,9,118220,9.00,,,,
2004,153621,Iowa Wesleyan University,IA,NCAA Division III with football,,1,NCAA,237,242,479,23564,6,32880,4.30,20416,6,37691,3.25,,,,
2004,153825,Loras College,IA,NCAA Division III with football,,1,NCAA,731,669,1400,22057,10,58662,3.76,17287,9,42743,3.64,,,,
2004,153834,Luther College,IA,NCAA Division III with football,,1,NCAA,943,1164,2107,18279,9,46211,3.56,13361,8,41269,2.59,,,,
2004,154004,Morningside College,IA,NAIA Division II,,2,NAIA,596,697,1293,23150,10,33071,7.00,17802,10,22252,8.00,,,,
2004,154013,Mount Mercy University,IA,NAIA Division I,,2,NAIA,346,700,1046,6100,6,17854,2.05,6400,7,22974,1.95,,,,
2004,154101,Northwestern College,IA,NAIA Division II,,2,NAIA,455,586,1041,11835,8,37276,2.54,7330,7,26724,1.92,,,,
2004,154235,Saint Ambrose University,IA,NAIA Division II,,2,NAIA,950,1237,2187,14366,8,28732,4.00,7110,8,18960,3.00,,,,
2004,154350,Simpson College,IA,NCAA Division III with football,,1,NCAA,605,774,1379,18950,9,52639,3.24,11546,9,35225,2.95,,,,
2004,153278,University of Dubuque,IA,NCAA Division III with football,,1,NCAA,1035,644,1679,24798,9,24798,9.00,13885,7,13885,7.00,,,,
2004,153658,University of Iowa,IA,NCAA Division I-FBS,,1,NCAA,9801,10889,20690,385879,9,434114,8.00,126195,11,132204,10.50,,,,
2004,154095,University of Northern Iowa,IA,NCAA Division I-FCS,,1,NCAA,3856,5263,9119,108393,6,132726,4.90,68250,8,82727,6.60,,,,
2004,154493,Upper Iowa University,IA,NCAA Division II with football,,1,NCAA,878,1346,2224,40653,6,48784,5.00,31271,5,39089,4.00,,,,
2004,154518,Waldorf University,IA,NAIA Division II,,2,NAIA,867,546,1413,9792,6,32822,1.79,10302,5,36793,1.40,,,,
2004,154527,Wartburg College,IA,NCAA Division III with football,,1,NCAA,686,747,1433,31850,9,72386,3.96,19982,8,54373,2.94,,,,
2004,154590,William Penn University,IA,NAIA Division I,,2,NAIA,613,498,1111,22430,8,41730,4.30,20528,6,34213,3.60,,,,
